angle,mu.intercept,mu.age,mu.age2,mu.age3,mu.rad,mu.rad2,mu.rad3,sigma.intercept,sigma.age,sigma.age2,sigma.age3,sigma.rad,sigma.rad2,sigma.rad3
26.7535853976532,1.58200224602865,0,0,-5.39092701354592e-06,20.6108755038792,0,0,2.38942765435802,0,0,5.8837527899234e-07,0,12.0111859065793,-31.9727170530235
27.2229465449804,1.58429075800021,0,0,-5.60211352742887e-06,20.5102430451272,0,0,2.3884067052712,0,0,6.27396177839995e-07,0,12.8476604601396,-34.2069872003197
27.6923076923077,1.56101427419107,0,0,-5.75522703091897e-06,20.8717407335225,0,0,2.39488115215239,0,0,6.25819915257088e-07,0,13.0704583457087,-31.4940106696225
28.1616688396349,1.55398552132697,0,0,-5.9793238853044e-06,21.0728863067012,0,0,2.40105865925945,0,0,6.45283260671526e-07,0,11.877907649164,0
28.6310299869622,1.59076856968435,0,0,-6.3728448630165e-06,21.0682126352942,0,0,2.4093352833639,0,0,6.34105357807968e-07,0,12.2715272882816,0
29.1003911342894,1.57020636985347,0,0,-6.47010162894598e-06,21.340454194791,0,0,2.42263445569364,0,0,6.06749213925518e-07,0,12.425112585903,0
29.5697522816167,1.57757051621934,0,0,-6.75519642640124e-06,21.2935427474716,0,0,2.43707694993486,0,0,5.74444630351474e-07,0,12.4315256957663,0
30.0391134289439,1.57242691147133,0,0,-6.99962209854018e-06,21.2848962734331,0,0,2.45188198602668,0,0,5.45480696630223e-07,0,12.3434475831434,0
30.5084745762712,1.603867327798,0,0,-7.37070586718116e-06,21.3767415627774,0,0,2.46637095206077,0,0,5.18858383892956e-07,0,11.9359549817009,0
30.9778357235984,1.6202153464804,0,0,-7.56043382532877e-06,21.2235661922065,0,0,2.48054147402056,0,0,4.94193579339734e-07,0,11.576296247268,0
31.4471968709257,1.63378165897878,0,0,-7.9215469340315e-06,21.3240473673768,0,0,2.49384135805088,0,0,4.75307016837574e-07,0,11.9110751562916,0
31.9165580182529,1.6336424964948,0,0,-8.01314909963778e-06,21.4508602740094,0,0,2.50856688110398,0,0,4.51164203269423e-07,0,11.6581921134865,0
32.3859191655802,1.63844253795276,0,0,-8.2649079583449e-06,22.0253180349439,0,0,2.52374064713711,0,0,4.23442167705383e-07,0,11.4126147898839,0
32.8552803129074,1.62830727264031,0,0,-8.37950275757648e-06,22.0457116965494,0,0,2.54141550708958,0,0,3.85452923534855e-07,0,11.4055545827037,0
33.3246414602347,-0.353237340491514,0,0.00205528109363262,-3.2345596679739e-05,22.0230327345095,0,0,2.55914110666467,0,0,3.53842505475396e-07,0,11.5407465378879,0
33.7940026075619,-0.581790520152715,0,0.00225255675207682,-3.45739695774765e-05,21.6972607673861,0,0,2.57582240481804,0,0,3.23437585365048e-07,0,11.8122852841821,0
34.2633637548892,-0.852770688900486,0,0.00249231428344269,-3.7260013239639e-05,22.0340630448518,0,0,2.59590707497132,0,0,2.83271514674935e-07,0,12.1454172909983,0
34.7327249022164,-1.06371242666285,0,0.00263738801253752,-3.86766979012303e-05,21.2380858731799,0,0,2.61236170127284,0,0,2.56068891824253e-07,0,12.7766656539242,0
35.2020860495437,-1.34433642976439,0,0.0028567328129069,-4.09186127419031e-05,20.6961060229186,0,0,2.62724578677483,0,0,2.31211508753865e-07,0,13.3426773872229,0
35.6714471968709,-1.46745914883599,0,0.00289606054453315,-4.10884033051867e-05,20.6255275040264,0,0,2.64072896164573,0,0,2.15930902442813e-07,0,14.4009637173592,0
36.1408083441982,-1.60616632688438,0,0.00296692495228868,-4.16447363442638e-05,19.9935784688962,0,0,2.65098784907725,0,0,2.11780651343381e-07,0,15.5375654129186,0
36.6101694915254,-1.77805931899924,0,0.00304572394338918,-4.22165798441861e-05,19.7283325726417,0,0,2.64277217943978,0,1.84293095498186e-05,0,0,16.5912405277323,0
